Timestamp,Roll,Pitch,Yaw,Acc_X,Acc_Y,Acc_Z,USBL_X,USBL_Y,Depth,Est_X,Est_Y,Est_Z,Temp,State_6,State_7,State_8,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
1586441960.16,174.415847778,-51.8119621277,176.238296509,0,0,0,0.5568,8.2989,0.597559646672,0.5568,8.2989,0.597559646672,24.51,0,0,0,,,,,,
1586441960.4,175.068893433,-51.5272789001,176.005493164,7.67451524734,0.806437730789,-6.04105377197,0,0,0,0.556799999948,8.29890000164,-0.597559646427,24.48,-8.96079573232e-07,2.8324081005e-05,4.2293142814e-06,-0.0718087032437,-0.023889541626,0.0311113893986,-0.436765909195,0.385654687881,0.5701379776
1586441960.66,174.454742432,-51.9419822693,174.885513306,7.67836284637,0.707715809345,-6.07854509354,0,0,0,0.55680008356,8.29890136675,-0.597559806159,24.46,-5.86184436564e-06,4.07832212799e-05,-1.53425814244e-06,-0.13313741982,0.067662447691,0.104486219585,-0.436939954758,0.374625921249,0.578600168228
1586441960.92,175.76184082,-53.1519737244,172.962554932,7.79136562347,0.0706680417061,-5.7175655365,0,0,0,0.556799464685,8.29890051869,-0.5975620309,24.43,-1.21866408144e-05,3.66342205403e-06,1.39267811919e-05,0.0846095532179,0.113313660026,0.0847496315837,-0.436558008194,0.381309747696,0.568744182587
1586441961.17,177.523590088,-54.191619873,172.886047363,7.64315891266,0.0929261818528,-5.25906324387,0,0,0,0.556793058035,8.29889677171,-0.59758134801,24.41,-4.45650891306e-05,-1.22479974226e-05,6.28887078664e-05,0.140879318118,0.0340349972248,-0.0452935807407,-0.442992448807,0.406098842621,0.54491186142
1586441961.6,178.191970825,-54.1831016541,171.302642822,8.25690841675,0.046292938292,-5.81786441803,0,0,0,0.556775676202,8.29888171426,-0.597591955493,24.35,-1.33803430043e-05,-2.63234220746e-05,5.47849139305e-05,0.042038410902,0.0592537298799,0.141709312797,-0.436383247375,0.407762050629,0.547889232635
1586441961.86,-179.562255859,-54.6651535034,169.48425293,8.2420425415,-0.146167114377,-5.42830657959,0,0,0,0.556728660359,8.29885923106,-0.597604113342,24.32,1.13914764997e-05,-3.71144834358e-05,8.07647902184e-05,0.0439457632601,0.00192150473595,0.0505410172045,-0.431250333786,0.428045511246,0.53292131424
1586441962.12,-179.123184204,-54.4538154602,168.856933594,8.1478061676,0.125770866871,-5.495013237,0,0,0,0.556658636111,8.29887160793,-0.597617279985,24.3,2.85763640841e-05,-1.45990618726e-05,0.000102918700108,-0.0571042336524,-0.0272810459137,0.034748762846,-0.4275431633,0.426671266556,0.540653705597
1586441962.37,-178.77003479,-54.5036277771,167.727096558,8.1315574646,0.111791826785,-5.62423753738,0,0,0,0.556580557889,8.29890342801,-0.597615839343,24.28,4.36096752177e-05,1.02859772383e-05,0.000110662845909,-0.0447675623,0.0443883240223,0.0909127369523,-0.420860290527,0.423374414444,0.548645973206
1586441962.8,-178.116195679,-55.3423194885,165.655914307,8.04301071167,-0.175993263721,-5.338555336,-0.3441,8.1879,0.575758133858,0.556413855303,8.29890674403,-0.597688363013,24.22,4.10515151023e-05,1.10910891368e-05,0.000137390705405,0.0324510075152,-0.100596249104,0.0207833945751,-0.421682834625,0.427696466446,0.546277523041
1586441963.06,-177.709564209,-53.9047927856,165.552520752,8.00885486603,-0.104962125421,-5.74568367004,0,0,0,0.556295257229,8.29894655484,-0.597694124079,24.2,4.96150526818e-05,2.48085155539e-05,0.000140792466106,-0.0190854072571,-0.138369217515,-0.00604093074799,-0.410201787949,0.436825990677,0.558796167374
1586441963.32,-178.165802002,-52.3814315796,165.297225952,7.97662591934,0.35221773386,-6.08908033371,0,0,0,0.55614801272,8.29916637267,-0.597582917196,24.18,7.18296530668e-05,8.43357498671e-05,0.000129650927084,-0.0880390480161,-0.120452068746,0.0766508281231,-0.393870830536,0.427673578262,0.585183620453
1586441963.57,-176.614944458,-51.4932899475,162.588226318,7.82540512085,-0.261504381895,-6.11851644516,0,0,0,0.555983823343,8.29924132798,-0.597511889036,24.16,8.78487329744e-05,9.52546539431e-05,0.000127554181852,-0.0193029642105,-0.0410139672458,0.197020947933,-0.369355201721,0.436305522919,0.601152658463
1586441963.99,-174.52494812,-50.3545951843,159.591629028,7.65267896652,-0.801656663418,-6.1585559845,0,0,0,0.555684944184,8.29917303672,-0.597510701604,24.11,9.85579409538e-05,7.23994928152e-05,0.000135879037985,0.006095320452,0.0360630489886,0.0199161469936,-0.342569589615,0.438551664352,0.620198011398
1586441964.26,-173.539260864,-50.6250076294,159.202697754,7.42955780029,-1.03701090813,-5.7376332283,0,0,0,0.555348414881,8.29900456135,-0.597872922806,24.09,8.09032284094e-05,3.45246774554e-05,0.000186370231426,0.0641755759716,-0.0151008395478,-0.0118315238506,-0.349946260452,0.462625265121,0.605925559998
1586441964.52,-174.031677246,-50.2791175842,159.976135254,7.62097263336,-0.214498251677,-6.08039045334,0,0,0,0.554933590833,8.29936451342,-0.597855846909,24.08,8.90861866376e-05,8.405740184e-05,0.000204147424826,-0.0818908289075,-0.0365763902664,-0.0026062130928,-0.3522336483,0.476633071899,0.606771469116
1586441964.77,-174.022033691,-50.5673332214,158.011566162,7.79351377487,-0.317798942327,-6.50214385986,0,0,0,0.554743157687,8.29964310907,-0.597459356076,24.06,0.000113377124013,0.000121776021824,0.000169689315585,-0.166513055563,0.112373404205,0.209272682667,-0.342081546783,0.47744011879,0.619045972824
